Date,Section,Title,Sentiment Score,Sentiment Interpretation,Web url
26/10/2024,World news,Iran-Israel’s shadow war is out in the open and will only escalate unless causes addressed,-0.9992,Negative,https://www.theguardian.com/world/2024/oct/26/iran-israel-shadow-war-out-in-open
26/10/2024,World news,‘No one will save you’: tourists warned as volcanic site reopens in Iceland after six eruptions in a year,0.3926,Positive,https://www.theguardian.com/world/2024/oct/26/iceland-volcanic-site-grindavik-reopens
26/10/2024,World news,"From Grenfell to Bloody Sunday, the UK’s formal apologies",-0.9995,Negative,https://www.theguardian.com/world/2024/oct/26/from-grenfell-to-bloody-sunday-government-formal-apologies-slavery-colonialism-reparations
26/10/2024,World news,World leaders call for restraint after Israel’s airstrikes on Iran,-0.9933,Negative,https://www.theguardian.com/world/2024/oct/26/world-leaders-call-for-restraint-israel-airstrikes-on-iran
26/10/2024,World news,‘There is no money’: Cuba fears total collapse amid grid failure and financial crisis,-0.9971,Negative,https://www.theguardian.com/world/2024/oct/26/cuba-power-grid-failure-financial-crisis
26/10/2024,World news,After Pelicot: how one woman’s courage has pushed France to a turning point,-0.9964,Negative,https://www.theguardian.com/world/2024/oct/26/gisele-pelicot-france-rape-trial-law-debate
26/10/2024,World news,Iran mocks Israel’s ‘weak’ attacks as hardliners call for reprisal,-0.998,Negative,https://www.theguardian.com/world/2024/oct/26/iran-mocks-israel-attacks-weak-hardliners-reprisal
26/10/2024,World news,Georgians head to the polls in pivotal parliamentary election,0.9087,Positive,https://www.theguardian.com/world/2024/oct/26/georgians-head-to-the-polls-in-pivotal-parliamentary-election
26/10/2024,World news,‘Time has come’: Commonwealth heads agree to reparatory justice dialogue despite reluctant UK,0.9814,Positive,https://www.theguardian.com/world/2024/oct/26/commonwealth-heads-reparatory-justice-dialogue-despite-reluctant-uk
26/10/2024,World news,IDF strikes military sites in Iran: what we know so far,-0.9986,Negative,https://www.theguardian.com/world/2024/oct/26/idf-strikes-military-sites-in-iran-what-we-know-so-far
26/10/2024,World news,Shirley Ayorkor Botchwey appointed Commonwealth secretary general,0.9192,Positive,https://www.theguardian.com/world/2024/oct/26/shirley-ayorkor-botchwey-appointed-commonwealth-secretary-general
26/10/2024,World news,Israel strikes military targets in Iran in reprisal that raises risk of regional war,-0.9995,Negative,https://www.theguardian.com/world/2024/oct/26/idf-israel-iran-strikes-explosions-tehran
